,id,city,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,umpire1,umpire2,yr,team1_points,team2_points
112,419109,Kolkata,MK Tiwary,Eden Gardens,0,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,HDPK Dharmasena,AM Saheba,2010,1599.0,2011.0
113,419110,Chennai,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,runs,31.0,K Hariharan,DJ Harper,2010,2108.5,2004.5
114,419111,Ahmedabad,V Sehwag,"Sardar Patel Stadium, Motera",0,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,wickets,6.0,BG Jerling,RE Koertzen,2010,1685.5,1766.0
115,419112,Bangalore,JH Kallis,M Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,bat,Royal Challengers Bangalore,wickets,8.0,S Das,DJ Harper,2010,2011.0,1684.5
116,419113,Kolkata,MS Dhoni,Eden Gardens,0,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,55.0,HDPK Dharmasena,AM Saheba,2010,1599.0,2108.5
117,419114,Delhi,SR Tendulkar,Feroz Shah Kotla,0,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,Mumbai Indians,runs,98.0,BR Doctrove,SK Tarapore,2010,1766.0,2020.5
118,419115,Bangalore,JH Kallis,M Chinnaswamy Stadium,0,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,10.0,K Hariharan,DJ Harper,2010,2011.0,1685.5
119,419116,Delhi,ML Hayden,Feroz Shah Kotla,0,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,wickets,5.0,BR Doctrove,SK Tarapore,2010,1766.0,2108.5
120,419117,Cuttack,A Symonds,Barabati Stadium,0,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,runs,6.0,BF Bowden,M Erasmus,2010,2004.5,1684.5
121,419118,Ahmedabad,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",0,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,34.0,RE Koertzen,RB Tiffin,2010,1685.5,1599.0
122,419119,Mumbai,JH Kallis,Brabourne Stadium,0,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,7.0,HDPK Dharmasena,SS Hazare,2010,2020.5,2011.0
123,419120,Cuttack,A Symonds,Barabati Stadium,0,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,runs,10.0,BF Bowden,M Erasmus,2010,2004.5,1766.0
124,419122,Mumbai,SR Tendulkar,Brabourne Stadium,0,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7.0,SS Hazare,SJA Taufel,2010,2020.5,1599.0
125,419123,Bangalore,RV Uthappa,M Chinnaswamy Stadium,0,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,runs,36.0,RE Koertzen,RB Tiffin,2010,2011.0,2108.5
126,419124,Chandigarh,AC Voges,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,runs,31.0,BR Doctrove,SK Tarapore,2010,1684.5,1685.5
127,419125,Mumbai,SR Tendulkar,Brabourne Stadium,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,5.0,BF Bowden,AM Saheba,2010,2020.5,2108.5
128,419126,Ahmedabad,YK Pathan,"Sardar Patel Stadium, Motera",0,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,Rajasthan Royals,wickets,8.0,HDPK Dharmasena,SJA Taufel,2010,1685.5,2004.5
129,419127,Chandigarh,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,39.0,BR Doctrove,S Ravi,2010,1684.5,1599.0
130,419128,Bangalore,KM Jadhav,M Chinnaswamy Stadium,0,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,field,Delhi Daredevils,runs,17.0,BG Jerling,RE Koertzen,2010,2011.0,1766.0
131,419129,Ahmedabad,NV Ojha,"Sardar Patel Stadium, Motera",0,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,runs,17.0,SS Hazare,SJA Taufel,2010,1685.5,2108.5
132,419130,Mumbai,Harbhajan Singh,Dr DY Patil Sports Academy,0,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,Mumbai Indians,runs,41.0,S Das,K Hariharan,2010,2004.5,2020.5
133,419131,Delhi,DA Warner,Feroz Shah Kotla,0,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Delhi Daredevils,runs,40.0,SS Hazare,SJA Taufel,2010,1766.0,1599.0
134,419132,Mumbai,SL Malinga,Brabourne Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,wickets,4.0,BR Doctrove,SK Tarapore,2010,2020.5,1684.5
135,419133,Chennai,M Vijay,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Chennai Super Kings,wickets,5.0,BG Jerling,RE Koertzen,2010,2108.5,2011.0
136,419134,Delhi,KD Karthik,Feroz Shah Kotla,0,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,runs,67.0,HDPK Dharmasena,SJA Taufel,2010,1766.0,1685.5
137,419135,Kolkata,SC Ganguly,Eden Gardens,0,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,24.0,K Hariharan,DJ Harper,2010,1599.0,2004.5
138,419136,Chandigarh,KP Pietersen,"Punjab Cricket Association Stadium, Mohali",0,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,wickets,6.0,BF Bowden,M Erasmus,2010,1684.5,2011.0
139,419137,Chennai,M Vijay,"MA Chidambaram Stadium, Chepauk",0,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,runs,23.0,RE Koertzen,RB Tiffin,2010,2108.5,1685.5
140,419138,Mumbai,AT Rayudu,Brabourne Stadium,0,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Mumbai Indians,runs,63.0,BR Doctrove,S Ravi,2010,2020.5,2004.5
141,419139,Kolkata,DPMD Jayawardene,Eden Gardens,0,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,wickets,8.0,S Asnani,DJ Harper,2010,1599.0,1684.5
